nama_caleg,pasangan
"AGUS RONALD, A.Md",DEWI HARYANTI
AWINA,-
SURIAT,ANA FRIANA
SELVIANA,-
dr. ARIA PRATAMA SURYA ANGGARA,-
"AHDIANSYAH, SE",NURIJAH
REYSA AGESTI,URAY LUTHFY AVIAR
IMAM DARMAWAN VIDYA,OKKY RINDA FAJARIANTI
YULITA ESTU MUKTI,DANI WAHYUDI SIREGAR
"YULHELMI, SE","DETILDA YENNY,S,Pd"
DARWANTO,KARTINI
"SAHRUDIN, SE",SITI ROHAMA
"RUDIYANTO, SH","KIKI ENDAH NOVIANTI, SE"
SYARIF MUHAMMAD SABLI ALQADRI,SYARIFAH ALUYAH
"MUHAMMAD SOLIHIN, S.Pd.I",NIDAUL HASANAH
NURUL UYUN,-
HERMANSYAH,USMAHAYU
HAWALIYAH,SUTARJO
KUSMAYATI,DRS. AHMAD MA RUP
"IQBAL ASRARUDDIN, SE","GUSTI MEILIANI SISILIA, ST"
ISMAIL,KHOLIFAH
"SYAMSUARDI, SE.","SRI HASTUTI ,SHI"
TINI NANA,HAIRUN AHMAD
"H.WAN ANHAR, SH, MH",Dessyana
ZULKIFLI,Miliyarni
SRI YANI,TIDAK ADA
DRA. DESY FRIDIANA,AGUS BROTO
IRYANTI PURNAMASARI,BUSNIZAR
"ANDI HARUN A.R, SH",MARDIANA S.Pd
MOCHTAR ZAKARIA,masnah
HANAYANTI,-
"MEISKE ANGGRAINY, S.Sos.,MM",Ir.BRIDE SURYANUS A.
"IROM, SP.,MM","YUSTINA, A.Md.Kep"
"BAMBANG GANEFO PUTRA, SE",MAWATI
"RUSLI ABDULLAH, SE.,M.Si",SAKNIAH
"JENIARD ALBERTA MANAO, A.Md","Drs.HERMANUS, M.SI"
"ALIPIUS, S.TH","MARETINA,S.PDK"
Ir. GATOT RUDIYONO,CECILIA DINDHA NATASYA.R
ROSILA LATIEF,FIRMAN SANTANA
"HERMANTO LIM, SE",J.CATHERINA DEVI
YOHANA YOSIPHANUNGKAS BAHARI MANDAYU,-
"KAMARUSSALAM, SH","FENNIE FASRAHWATI, ST"
Drs. AFFANDIE. AR,SRI MARTINI
"ERMIN ELVIANI, S.H",-
"JONNY DJAMAL, S.E., M.Si",belum diisi
"UMAR, S.E","ANI SURYANI, SH"
LUTERIANA VETRONELA,-
FRANS LADJA UMAR,LUCIA
"ALBERT DANIARLI, S.Sos",-
FADUKA CITANY,belum diisi
NUR ISNAINI,belum diisi
"SAPRANI, S.H",IR. MARYANTINI
"ERRY IRIANSYAH, S.T","WAHDINI, SE"
MUSTAFA MS,SARRY FERRAWATI
ENDANG TRI DESWANI,JOKO
MASDAR. AR,Hj. JULIANA SIBUN
"ARIEF RINALDI, ST",SELLA WAHYUNINGRUM
SITI HERAWATI,HENDRO
"H.M.ROLIANSYAH, SH, MH","DYAH PRASETYO RINI, SE"
NOVITA SARI,RUBY SETIAWAN S.Sos
"Ir.. WERRY SYAHRIAL, M.H",RATNA IRIANI
"YETTY TRIASTUTY, S.KOM","MM. RIDHA, SE"
"M. NURDIN, S.PD",USWATUN HASANAH
H. ISHAK,AMIRAH MIDANTI MAHITA
AISYAH,MULYADI
EDY GUNAWAN,Juni Astini
"TASMIN, SE",MURLIA
RITA MONIKA,H.M Fauzan
"NANDAR REZKY RAMADHAN, S.S.T",-
"JECIKA ARISKY RIANTI, S.IP",-
"H. BURHANUDDIN H ISMAIL, SH","HJ.SISWATI, Spd"
NURHAYATI,MAHRUS EFFENDI
"SUIB, SE",-
"RYAN ARIANDA, S.Fis",-
"DRS. H. MUKLIS, M.Si",HJ. HAZIBAH
"NASYRUDIN AZIZ, S.Pd",-
ARDA PANDINI,-
JUNAIDI,-
"RIZKY VERONIKA, A.Md",AGUS IRAWAN
HERNANDO WINARKO,-
NOVI NOVIANTI,naim yoisangaji
SUNANDAR,awang mawarti
"H. FATAHILLAH ABRAR, S.Ag, M.Si",LAILI FITRI YENI
"KHALID HERMAWAN, ST",VERAWATI WARDAH
"RAJUNA, S. PD",FAUZI
"TAUFIKURRAHMAN, S. AG","ERITAWATI, S.Pd"
Ir. MARGIONO,UMMI KALSUM
"EKA YULIA NARSIH, S. Pd","DEDEN PERMANA, S. Kom"
"SYARIFAH FATIMAH, S.HI",MUHAMMAD GHUFRON
SARJU PURNOMO,MUHANAH
"SADLI SARDI, S.H.I",SITI PATHURAHMAH
ELVI SATRIANA,ABU HANIFAH
"SUBONO, SP",SANTI YULIANA
"MULYADI TAWIK, SE,.ME",Rianda Rita Ayu
"AKHMAD DIMYATI, AMK",Yanti
"H. IRSAN, S.Ag. MH","Maimunah,SE"
HJ. PARMINI,HASAN ZULKIFLI
"H. HAMZAH TAWIL, S,Ag.,M.Si","Kurniawati, SP"
TITIE HARDIYANTI,-
SY. USMAN,Asmayati
NUR MAYLIA PANGEMANAN,-
NURAINI,SUNARDI
"SUSANTO, SE, ME",ELFI SAHARA
"HAPPY HENDRAWAN, S.Sos., M.Sc",SRI DARWATI
"Ir. ANGGRAITO, MM",ARNIYETTI
RAHMAWATI,-
"HJ. HELYATI, S.Ag","H. AHMADI USMAN, S.AG"
"ZULHAM EFFENDI, ST, MM","DRA. DWI ENDAH MEINARTI, M.SI"
"BASRI, SP",SEHAT
MUCH SYAMSUDDIN HUSIN,MU LINATUN NI MAH
"SYF. LELY ANGGRAINI, A.Md",YULIANTO
"NUR AINI, SH",SUWONO
HERLI ROBIYANTO,Fatimah
"H. MUSNI KALIB, S.Sos",ROSSIANA
AGUS MUFTI,HANIYEH
GELSI IRAWAN,-
"ERNI PARAMITA, SPd. MM",SDH CERAI
"HERMAN, SE",ZULLIARNI
JELISTI UTAMI,-
"DRS. SYAFRUDIN FAKRI,S",NURJANAH
"TOTO SUNARTO,, S,A,P",SUPRIYATI
DAHAROSPA,SUDIBYO
"MUHAMAD SHALEH, S,Sos",NURJANAH
OKY NUGRAHA NURALAM,MELISA ANDDASARI
THERYTHA ERLY NYARONG,oktapianus tarigan.S.pd
MUHAIMIN,SHOLEHA
AHYAR,DINNA RAHMI
IYEL,SUAIDA
DILLI PONIARTI,JANARIUS IPUNG W
"ZIKRIADI, S.PD.I","YULIARNI, S.PD"
"ANDI RUMANSYAH, SH",DESI EKAWATI
LIDYAN VERA,SEPRIYADI
YULIUS,ERNALIA
SYAIFUL BAHRI,NINAUL MASKAMAH
JUNAINI,MALIK MOH. SAID
"SEBASTIANUS DARWIS, SE., MM",ANITA
ELIAS AJAN,ANTONIA RITA
"MARSELINA MARYANI, S.Hut",Ir. HERKULANUS BREMAN
Drs. HENDRIKUS CLEMENT,Wilhelmina Titing S
PUJI SUSWANTO,SETIA LESTARI
"Drs.. HERMAN IVO, M.Pd",KRESENSIANA IRMAWATI
JERRY CHRISTY,IRINE MAGDALENA
SOPONIAS DENTRI,VERONIKA
"KURNADI, A.Md",belum diisi
"NENENG, M.Sos",LEXY LEONARDO P
"-. RADEN BUDIANTO, S.Hut","ENI PUJIANI,S.PD"
"DR.. H. EDY R. YACOUB, M.SI",DRa SULHA AKHMAD. M.Si
"BONG CIN NEN, S.PD",HERKULANA MINAH ISKANDAR
ELISABETH PAMPANG ELSYE,"DR. PETRUS BOLI, M.KES, SP.S."
NENCY PANGESTU,NARTO
DRS.. H. SYAMSUL RIZAL,DRA. HJ. YULIATI
"YASINTA, S.sos",MIKAEL INJEK BARAYUNGK
AMIRUDDIN,Novi Nurviana
SUSANA,USMARDI
AGUSTINUS,JULIE CHRISTIE
"Drs. MOSES AHIE, M.Si",DOMINIKA
"NEHEMIA, S.TH",ROSALIA. S.PD.K
KASPER SITOHANG,DINA ROHANI
SUPARMI,MARYONO
ARMILA,PAULUS ACHUNG
"RIDHA WAHYUDI, SH",NURLAILA
"H. BACHRUL SAMAD, SH",HJ MASTURA
SAPARI,SITI ASIYAH
"M. IDZUARDY, SE","Rasmiati, S.Pd.I"
CHINDI FITRI WANDASARI,-
IKRAM ARDIAN,-
DRS. H. JAWANI,HJ. Masfuah
"ISLAHIYAH, SH.i",S. Taufik AL Bara bah
H. ZAINAL ABIDIN HZ,Hj. Muzainah H Aly
HJ. KOMARIYAH,Yusli
HARUN A SAMAD,Alinda
JOHANES ANTONIUS DOPONG,FUI TJU
"NELY MARGARETHA, S.KOM",-
"SILVERIUS SINOOR, SH.,MH","MARGARETA DWIRINI, S.Pd"
HJ. HADIJAH FITRIAH,Syarif Abdullah Alkadrie
SUDIANTONO,MERY MURNIMAN
Drs. A RUSTAM,"ERNI YUSNITA, Amd.Keb"
MINARTI,YULI DIAN ISKANDAR
URAI HUKO PURA,NORMA WITRIANI
RISTA NURLITA LEVIASARI,-
"MUHAMMAD GULZAR, SH",ROSILAWATI
ROSALIA,ADITYA
KORNELIUS TANDUK,AGUSTINA
DRS. A. PETRUS ALUS,MAGDALENA SOFIA. S.pd
"TONY KURNIADI, ST.,M.Si",YENI PERMATASARI
"M. IBRAHIM ARSYAD, ST",ERLINDA ROSA
"H. SUPARTO ASNAWI, SE",ERNA LUSIANA
"YANA TRIANA, A.Md",IWAN HERIANTO
"HERWANI, S.TP","MARINA, S.HI"
RITA IRIANTI,SUPRIADI
"MAILAMAH. M.H,S.SI, M.M.KES, M.M.Kes",-
RUSLAN,TITIN
"SYAIFUL HAKIM, S.SOS",SAPIAH
"CHIFNIBURHANUDDIN, S.SOS",MARDIAH
NADIA EPRILIONY,-
ERWIN SAPUTRA,"KANIA ROSY ULIANTI, M. Pd"
"ALEX SANDRA DJAOENG, SH",LASMARIA PANJAITAN
"MUHAMMAD ISYA, S.H",Dra. YUNIA RATNA
H. BURHANUDIN H. USMAN,SUTARMI
NOOR AISYAH,SUGENG
"SUSAN LESTARI, S.Pd",-
WIBERTA YULINDA,-
JAMIAH,-
"Drs.. AGUSTINUS CLARUS, M.Si",VERONIKA AJUDAN
MURSALIN MM,HARTATI
ST. AGUNG SUSILO,-
"Ir.. H. PRABASA ANANTATUR, MH","Hj. RUBAETY ERLITA, S.Sos, SH"
MUAZAH AL ADAWIAH,HEMDI
MINHAD ZULFAN,TAIBAH SAKRANI
"SITI MUSLIMA, S.Pd",-
H. KURNIADI,NUR AINI
"SARI LISNAWATI, S.ST","SOCHIB KHSAN,ST"
RIYADI,EVI ANDRIANA
"SABHAN., S.SOS",",,,,,,,"
Drs. TIMOTIUS KETAK,CINDI
"Drs. BUDIMAN THAHIR, M.Si",SHINTA DIAN PRATIWI
BETI NURHUDA SARI,JUANDA
SYAHIDAH EMMY. MZ,-
AMIRUDIN,GUSLINDA
SRI PURWANI,SUMAHADI
"HERI JUNIZAR, S.Sos",HERFIANTI
SYAHRANI. HM,FAIZAH
HANISAH,ALMIZAN. SE
"MOCHAMMAD CHAMIM THOHARI, SP",NURAINI
MIMI KURNIA JULIATI,"MUSTAAT SAMAN, S.Hut"
"ADI WARNA, SE",LINA WATI
"SABIRIN, SP","SARINI, SP"
"RUDI, A.Md","ROS ROSITA, S.Pd"
"H. AZWAR.H.HAIDIR., SH. I",NUR FITRIANA
SRIANI,BENI
"HERI MUSTARI, SP",SRI WAHYU ASTUTI
SUHARI ADI,Dayang Syamsiar
"SUPRIADI, S.Pd",Nurmala
ALL THANAFIZY,ERDA HANDAYANI
"ARDI MULA PUTRA AL QADRI, S.Pd.I","Wilis Widi Wilujeng, S.P, M.M.A"
"H. ROSLIYAN RAMLI SALEH, SE, MM","Hj. Minarti, SE"
H. SUBHAN NUR,Hj. Yenni Suwarni
"INDRAWATI, S.Pd.I",Sugandi
IDA SYAHIDA,HERWANDI
"FADLI, A. Ma",ERNI
"Drs. TOTIYAH, SE, M.Si",.Kartila
ROSA PRATIWI,MASRIAN ANGGARA
REALITA RACHMAN,BAMBANG PRIYANTO
"HOLDI BULHASAN, S.Ag",Karina
FAISAL M. BAKRIE,NUR ADHA
DIAN PUSPITASARI,ARMEN ARSYAD
"ANWAR, SH",Nursiah
"DADANG WIJAYA, SE",PATMAWATI
DIAN NURSARI,Uray Fadli
RIKHA RIZKI AMALIA,-
ZAMAL SAPUTRA,-
ALHALAT PUTRA JAYA,SITI HENDRINI
"ALITON CONTRADUS ANTONIUS ONDENG, SH .MH",YULIANA
ERSI FITRIA,-
ENIK OKTAVIA,-
ZULFIKAR,LIZAWATI
SUMITRO,FARNIDA
VITUS ANUAR,VERONIKA WATI
YULI ANDRIANI,-
"YOSEF ELWARDUS MURTI PUTRA, S.HUT","TATI MARDIATI, A.Md"
DIAN SABRINA,DENNI
"SUWARDI,SP",NUZMI FATIMAH ARFIAH
AYU NURANNISA MELANI,Solihin
"TAPANUS, SH., MH",SITI JUBAIDAH
"ANGELINE FREMALCO, SH","FRANSISKUS DIAAN, SH"
RAMLI RAMA,Dra. SUNARTI
"YANTI OCTAVIANA, ST., MT",Drs. H. MUHIL SHONHADJI
"Dr.. MARKUS AMID, M.Th., S.Th",WISYE BENDELINA PINGAK
"Drs.. LUDIS, M.Si",ERNI YOVITA
"ETNARITA, SST",-
"NELA PASKALIA, S.K.M",-
"SUPRIANUS PIAN T.A, S.E., M.M., M.Si","MAGDALENA, S.KEP. NS., M.SI"
"N. NEHEN, S.Pd, MM","AMINAH, S.SOS"
"H. EDI SATRIA, S.Ag",Hj.ISNANIAH
"SESILIA, S.H",=====
"ANDREAS LANI, SH","MARIATY SIMANJUNTAK, SE. M.SOS"
"ENDANG KUSMIWATIK, S.P.d",ILAS SUPANDI
ROMANA BURHAN BULIN,MAGDALENA
"ERNA ENDANG, A.md",Benediktus Yuyun
HERWAN,Meliana
"FLORENTINA KARINA KRISTIN, SE",TAUFIK BADAIMAN
"STEVANUS RINTO RAMANG, A.Md",M. WINDA SARI
"ANTONIUS, S.Pd.K",MARIA SUSANTI
LUSIA NININ,ROBERTUS ALEKSIUS
"NASUAN, SE",GUNARDI
MURDIN,YENI TRIANA
"IRMANSYAH, S.E",-
KURNIA WAHYUDI,Nanin Novika (Alm)
SRI RAHAYU,Asmunandar
"MUZAKKI, S. Pd. I","Asmani, S. Pd"
"ROHIMA, S.Sos.I","Jauhari Jafar, S.Pd.I"
"LUKMAN SANTOSO, S.Pd.B",Ernawati
ROSIDA SAFITRI,-
SENIRI,-
"PETRONELA, S.Pd, M.Pd",Drs. IRIYANTO
"MUHAMMAD DAMANHURI, SH.I, SH","Romlah, SE"
"Drs.. LUKAS KANOH, MM",Mariamah
LENI RIANTI,-
SUMADI,DEMIATI
"GUSTI FAJAR WAHYU, SE",-
YANA IRAWATI,-
ELFA NOVIA,-
RONNY SUTANTO,RUSTINI
"ADRIANUS ANGE, S.Pd",ELLYSABETH EUFEMIA
RATNA TRIYANTI,APOLLO
DANIEL DAUD SERAN,PAULINA KRISTIANTI ENDANG M.Pd
ELISABETH AURELIA,-
"HERMANDUS LAMIN, SH",MARSELINA NIGAS
"MUHAMMAD, S.SOS",NINGGAR LAKSA INTANI
"AKHMADI, S.Pd",ROSA LIBRIANTI
ASNAH WATI,YUDI RAMADI
"SAPARUDIN, SP",TETI YULIANTI
"MENING SUSANTI, S.Pd","NAZIBULLAH, S.Pd"
EKO AGUS PERMADI,NYEMAS FATIMAH
"H. ABDULLAH, SH",BOINIATI
LUTFI,MASTIKAWATI
LINDA ANGO,BUDI HARTANTO
"MUSA, SE",LINERI
"TANTO YAKOBUS, S.Sos., M.Si","INDRI HANDAYANI, A.Md.Kep"
"USMAN, S.Sos., M.Si","MARIA, S.Sos"
"KATHARINA LIES, S.Pd","THADEUS YUS, SH, MPA"
"ARON, S.H",MAGDALENA SUSILAWATI
"H. MUHHAMAD RAMSYAH, S.I.P., M.M",RADJEMAH
"HELENA ALI, A.Md",PITTOR MS MUNTHE
THERESIA HENNI,belum diisi
H. MULYADI H. YAMIN,HJ. JULIA
Ir.. VINSENSIUS LINTAS,ZARIANA
"EMY SUSLAMAWATI WIRAATMADJA, S.SOs M.E",======
"FRANSISKUS ASON, S.P",SELVIA
"NUR KURNIAWAN, A.MD",SISKA SENTIARINI
"ROSSI ROSANTY, SH",HENDRIK PURNA IRAWAN
SUCI DAMAYANTI,-
MIA YUSLINA,ROCHE OCTO KARUNDENG
"GUSTI YUSRI, SH",ELLY HENDRAWATI
RINA HERLIANA,-
"IBRAHIM BANSON, SH",Yuen Kanoh
"SITI MARDHIAH, S.pd",IWAN ERNANDA
"AHMAD JUNAEDI, SE",Sarina
LUSIANTI,Rizal
"YUSPINUS SWISTO, SP",EMI SARTIKA
"NEHEMIA RENTHA, S.Sos",DINAWATI
"MARTEN LUTER, S.Sos",SUSANA HERPENA
"MAGDALENA ERNA, S.Pd",FELISIANUS SIDAN
"ANITIA GEA, S.Pd.K",ONEKHESI ZEGA S.PD.K
ANTONIUS SUSANTO,FLORENTINA NOVELIA
WELBERTUS WILLY,MARIA MAKULATA
"DANU SUSILO, SP",GALUH SUDARSIH (ALM)
"TIETA APRIENIE, ST","SISWANTO, S.PD"
"Dra. UTIN SRI AYU SUPADMI, M.Si",-
"H. SYAFRUDDIN NASUTION, SH. MH",Hj. Tuti Sukmawati
SUTRISNO,Yuliana
"M. DAMSIR, SE",-
RACHMI RUPITASARI,-
YOHANES AJI,M. MARSELA
SLAMET RIYANTO,Rizki Dewi Permatasari
"FRANSISKUS SUWONDO, SE",IRA BIBIANA
RANI RAHMAWATI,ABANG SAFARUDDIN
"Drs. DJEMAIN BURHAN, MM","DARMIYATI, SE"
"Drs. YOHANES JHON, MM",MARIA
"H. ANDI DARSUDIN, SE",SRI KARTIKA
"BARIA TITIN NINGSIH, S.Ag.","NAZIRIN, SH"
"ANTON, SH",YENNI ANDREAS
ZUSANA SALOMINA LOMON,F. ISMI SURYA
MUHAMAD FADZAL MUDZAQQI,-
IRWAN DARMAWAN,"SUSI INDRAWATI, S.Km"
MAGDALENA HUT,HERMANUS YANSEN
RIVIN,RAHMANIAH
DWI RATNA,IUS KORNELIUS
"IYUSTINA, SH.",MEKAEL WAHYUDI
"KHIRONOTO, ST",LILI SUNARTI
"BERNABAS, SE",SRI WAHYUNI
JULIANA,ABDURRAHMAN
"RUDI ARMANTO KARAS, S,Sos",-
"AMSAH, SE",DARAWATI
YOANLI THERESA DEA,MELKIANUS TITIAHY
ARIFIN DAENG NGEWA,YULIANA YUL
"RITAUDIN, SE","KUSMAWATI, SP"
SYAMSYAR,EVA AGUSRINI
"YULIA SYAHZAMAN, S. Hut","H. SUWARDI, S. HUT"
"KAMARUZAMAN, S.Sos",DAHLIA
"YASWIN, SH",KARTINAH
ANA KARYANI,WAWAN ASMULYANTO
"JONI PRANATA, SH","PAULA NATALIA ICE, S.Pd"
ABANG SYAHYUNI,AYANG HERLINA
NURHAYATI,-
"ADRIANSYAH, S.SOS",RINA KURNIA
"AZHARUDDIN NAWAWI,, S.Ag",Hermiati
NUR AINI,APRIL CAHYADI
MAHIYAR,MASLIUN
ABDURRAHMANSYAH,RAJE AH
"YUSRIDA, SH",M PETER HANS MAU (ALM)
M. KEBING L,"PATRICIA RADU, S.Pd"
"MALIN, SH","Modesta Sunardi, S.Pd"
"YOHANES RUMPAK, S.Pd., MM",belum di isi
"Drs. YOSEPH ALEXANDER, M.Si",VICTORIA MARIA ASUAN
ILSA FRANSISKA KURNIA SEPTI,HERIYADI PERO
SIMON FETRUS,RUTH NOVITASARI HUTASOIT
"Dr. Drs.. NICODEMUS R. TOUN, M.M","KRISTINA, S.Sos.,M.Si"
"THERESIA, S.Sos",SELIMIN
"Drs.. JOHN ITANG OE, M.M",MONICA ORY
"RAHMAT KARYADI, S.M",JUNITA KARLINA
LIES SUWARNI,JOLKARNAINI
"Drs.. JOHN MURKANTO AJAN, M.Si","MERYWATY, S.TH, M.PD.K"
"BUHARI MUSLIM, S.H.I",RINA MINARSIH
"KRISTIANA SUSI, S.Hut",belum diisi
"MUHAMMAD HAFIDDIN MA, S.E",EVI EKA ARIYANTI
BURA KARTINA,-
AMRIYADI,-
"H. USMANDY S, M.S.I","Hj. AGUSTINAH, S.PD.I"
"HENNY DWI RINI, SH.","H. FIRMAN MUNTACO, SH. MH."
"DRS. ADRIANUS SENEN, SH, M.S.i",NS. EMILIANA S.Kep. M.AP
"SYAIFUL BAHRI, S.T",NUR IKA SUJANA
"ABANG SABRINSYAH, SE",NURUL AFIQAH
"YOAB LENGKET, S.Pd M.Pd",SUSANA BEFSIANAWATI
AGUS ARYANTO,======
VERONICA ROSA,-
ERVINA,-
"INDRA LAKSAMANA PUTRA, Drg.",Drg. bADARIAH SALIM
"SINJA PURWANTI, S,E",HENDRA CAHYA SETIAWAN
"PAULUS ALEXANDER, S.Pdk",Fransiskayanti
SHERLY CHARLEONA,WIDODO RUSNO PUTRO
ANDREAS,KRISI KRISKUSI
DANIEL SETIAWAN,"ERLINA YUNIDA PITA, S.Th"
"MEY YENNY, S,E",-
"ANDRY YOLANDA, A.Md",-
"RITA PURWANTI, SH",-
"ZAINUDDIN, S.Pd",NELLY HEATUBUN
"PENCON, S.Pd.K",YONMI
"ALEKSIUS SURAI, SP",SELVINA SIAINI
KARMILA NATALIA,LANTU
FRANSISKA GALUNG,septianus moses
MELINDA WAHYU RAHMAWATI,-
"DEDI YANTO, SE",SUSANTI
JURAN,SOPIA ENTES
HERIANSYAH,NURBIAH
"OMARSYAH, S.Hut",ESTI INDRAWATI
"BACO MAIWA, S.E",ERMAWATI
"ISWANDI, S.E",NUKE VIRAWINDY
TATI SUGIARTI,AHMAD ENDANG
ACEP SURYADI,ENDAH HERMANTI
BASORI,"PURWATI, A.MD"
"OSLINA, S.Pd","JAPRI, AMKG"
TANTRA NUR ANDI,TIDAK ADA
"AMUNGGA PRATAMA, S.H",DEWI ISTIAWATI
PURWANI,MUHAMMAD KARNEN
MUHAMMAD RIZKA WAHAB,Frissa Damayanti
"KADRI, AMD",Wartini
"HJ. NURAINI.B, SPD.MH",Busra
RUJU,Rini Wulansari
"WINDI ARDITHA, SH",-
"Drs.. ABDULLAH USMAN, M.Si",Niken Hiradiana
MASNI WATI,00
RAHMAT,Mimiwati
EMILIA SUSANTI,-
"A.M. TAJUDINNUR, S.SOS",Asniati
"Ir. H.LUTHFI A. HADI, M.Si","Dra. HJ. NURASMAH, S.Pd, M.Pd"
"H.M. HERRY SYAMSUDDIN, S.Pd., M.Si",DAHLIANA
"LIDYA NATALIA SARTONO, S.Pd., M. Pd",-
"SOPIAN HADI, S.Sos., M.Si",SETIA WATI
"H. FAKHRUDIYANSYAH, A.Md",DAYANG ANDRIYANTI
"NUR HASANAH, ST",-
"TERRY IBRAHIM, S.Sos., M.M",JUNAIDAH
"MARTINUS YESTRI POBAS, SH., MH","AGUSTINA, A.Md"
ASRIANI,SUPRATMAN
"LENSUS KANDRI, SH., MH",Dra. MARTHA SINYOR
"MARIA LABENA, S.Pd",-
Drs. BUDI BASADI,Dra. ADIAN HENDAWATI
"IBNU SIAM, A.Md.Kom","SUSILAWATI, A.Md.Keb"
SUHARDI,HASANAH
"SYUMIATI NUR, A.Md",HERI GUNAWAN
ELLISYA MANDASARI,SUFIE
"H. SYARIF USMAN EFENDI, SH., MH",DEDE SUKAISIH
"AGUS PITRIYANI, SE",ARDIANSYAH
YOSIE RIZAL,AINI MASTUTI
MUHARNO,NUR AISYAH
THOMAS ADE WIJAYA,-
"ASANG, S,Hut",-
FEBRI TAUFIKURAKHMAN,EVY LIDYA
"YULIANUS ASRONI, SE",Kristiana Wahyu Mentari
YOPINUS JELAYAN,ANASTASIA ENDANG DWI PURWATI
"NATALIA, S.Pd",-
T. SUKAMTO,MARTIWI
"DRS. P.E.CHUNOI, M.PD",Anastasia Sarika
MAGDALENA PUPUT FITRIA,LINUS
EDDY BS,"JUMAISYAH HERLINA,AM"
LUSIA,AMOS
"YOHANES JOEY, SH",Martina pina
HARIATI ONMAU,EMANUEL
"M. DAHAR, SH",FITRA
YULIANI,"SURYADI, S.Pd"
"ISHAK, ST","RIMA MAULIDA SUPRIYANTI, S.SOS"
IIN SOLINAR,DURIAH
HUSNI,RAHMANIAH
KHAIRUL ANAM,"ITALIYA, ST"
ADMIATI,-
"EVA OKTASARI, S.Pd",-
IRIAN SYAHRUDDIN MADJID,JULIA SUKMAWATI RAMLAN JR
"A. ALFIAN, MT",Eva Eliwati
H.DRS.. SUADI MUNZIRI,HJ.FARWATI
MISNA SYARIANA,0
NURLELA,0
SY. M. SAUFI AULIA RAHMAN,belum diisi
"HADI PURNANDI, S.Ip.,M.Si.",SYF RAFIKA ULFA
RATNA HERLINDA,MASFAR MIRDAS
CANDRA ADY,JAINAB
"THOMAS ALEKSANDER, S.Sos.,M.Si","H.LILLY MONALIZA,S.Sos"
"MASKENDARI, SP.,M.Si",SELESTINA
"SELVIA ANTIA RESA, S.Kom",-
"A. ALIBATA, S.Pd, M.Si",LUSILA ARNILA
"ADUL. K, S. IKom",RUMINTANG SIAGIAN
"RYTA MONICA, A.Md.Keb",-
FITRIYANI,DENI HARTONO
SAUFI,IFAH QURAISYIN
"AQUINO CEGER, S.E","KRISTINA YULIANTI FARANI, S.E"
"ELISABETH LILIS SURYANI, S.E",-
"MASDAR, S.Pd.SD., M.Si",belum diisi
TANTHER ALEXANDER,belum diisi
"PATURAHMAN, S.I.P",belum diisi
NASTUTI LARASMITA,-
"HJ SUMA JENNY HERYANTI, S.H. M.H.","H. MORKES EFFENDI, S.PD, MH"
"H. IRVAN MASYAD, S.PD M.H",Hj. HAIRIAH
"H. RAHMAD SUTOYO, SE",NURUL KHASAH
"MARTHA ENNE, S.IP, MM",Ir. BAMBANG SUBIJONO
LUKAS LAWUN,C. FRANSISCA RASBILLA
"ELYSA, SH","ABANG SURYADI, A.MD"
"IR.. H. DARMANSYAH, MM",NURMALA
"SULISTIONO, S.SOS",DRA. HILARIA YUSNANI
ALIANSYAH,RITA ROBIANTI
MARWAN SP,SAIBIYAH
RACHMI ANGRIANI,Dr.SYAIFULLAH RAMSYAH
Ir. ALBERTUS BATARA BUDI,THERESIA GIDA LOVRIDA
JAIRINA,BAMBANG SURYA DHARMA
DJAELANI,SRIWATI
MARYATI,-
"Ir. GUSTI KAMBOJA, MH","Hj. ELLY HENDRAWATI, SP, MP"
"MUHAMMAD THOHIR, S,Ag",Naemah
Ir.. H. MUHAMMAD SAID,Tenny Hartini
"MARHAMAH, SE",Arsyad Haryanto
"ASIH FARAHMI, ST","Detty Ermayanti, A.Md, Kep"
ISNAWATI,"Eldyyanto, S.Sos. MM"
"MIA INSAN PERDANA, S. Pd. I","Rafiuddin, S. Sos"
YENI ANDRIANA,-
JUHAEDI,Fauzarina
H. HAMDANI ADENI,DIAH SUCIRINI
Drs. H. GURDANI ACHMAD,HJ. NURLAILI
"IRMA YANI, A.Md",ARY SETIAWAN
"DEWANTO, S. AP",RIRIS TOBING
"KHO SUSANTI, S.Pd",IR. HERYANTO KOSASIH
"JUNAIDI, SH","TIS ARIANI, SH"
RENY REY,AGUS PURNOMO
"ABUL AINEN, ST",MIRZANO
"H. MIFTAH, SH.i",YENNI SAHJERANI
HJ. BELLA SIRAMA,H. YUDIARMAN
SUPARTONO,JAMALIAH
SUNIWAR,NIA DANIATI
TINA SAHARA,RIO RIKARDO
"H.. UTI RUSHAN, ST","HJ. DELLY NOVIANTY, SE"
MUHAMMAD YANI,-
"DOMIANUS YORDAN, A.Md",ayu laras suryadi
"TITUS APEK, SH",YATA DONNA
SHEILA DEWI DESTIONO,WONDI
JAMARI ASRI,YUYUN RUDI KISMIYANTI
CHANISIUS KUAN,CHRISTINA AKIM
ANGELA TITI SARI,NORBERTUS
GITA DEVIANA,HERMANTO
ALIANSYAH. BE.,IDAYANTI
HJ. KARMILA,"HARRY WIJAYA, SH, MH"
"RAKHMAT NOPLIARDY, SH, M.Hum",DEWI MAYASARI
Dra.Hj. RACHMAH NORLIAS,Suriani
