nama_caleg,pasangan
NURTI SARIANI,NN
HERLINA,NN
NUR MAILIS,-
AHMAD NABIL,MARDIANA
SAFRAN,Santi Widiastuti
"HAMDANI HAMID, S.P","SILVANA, SE"
"ZULKARNAIN, S.E., M.M",DARSIAH
"SELFIA NINGSIH, S.Pd",-
"EFFRI DANDA, S.E","IIN MIRNA IRWANTINI, SH"
"MONICA OVIANANDA, A.MD.",-
SAMSIR ALI,MENIK YULIANI WINOTO
CITRA LEVIONITA ANDREAN,BANDORO MEGAPUTRA
SYIRAJUDDIN,RINA AWALIYAH PANJAITAN
BUSTAMAM ARDY,MARYATI
WAHYUNI,JULIANTO ARGI
LAELA HAYATI,RAHMAD PADLI
FADLI ULFA,TA JIAH
SYAPARUDDIN,ZAELAWATI
RUHAMAN SUHADA,NURAINI
IR.. DJUMHUR,Rizkani
IR.. M. ALI,"ASMAWATI, BA"
MUZAWIRAH,zulkifli idris
"MUHAMMAD DARUL, S.P","SUSPARIDAINI, S.Kep"
"ASFI NURTILAWAH, A.Md. Keb",RAHMADI
BANTASYAM,RASIDAH
"IR.. ALAIDIN ABU ABBAS, MM.","HJ. NILAWATI, S.PD."
NIRFAN JAYA,"ERNAWATI, S.PD."
JURAIDAH,SAPARUDIN
"FIRMAN YOGA, ST.",dr. EVI NABILA
MUHAMMAD YASIN,SUSILAWATI
"SUCI RAHMAWATI, S.Pd.",Sutri Handoko
"Drs. H. TAUFIK, MM",RAFIQAH
"BINAKIR, S.K.M",Hj. HALIMAH
SRI WAHYULI,EDI KURNIAWAN
"AMIRUDDIN, SE","MUSFIRAH, M.Pd"
CHAIDIR,"ERNI SAFWAR, SP"
DELIMA,-
HENDRA BUDIAN,SORAYA H. M. ISA
DJULIATI,MUDARLIAN
SATRIA ARMAYANTO,-
INDRA GUNAWAN,CHADIJAH BACHRUM
SASMAYATI,Ir. M. Sarkati
"ARAMIKO ARITONANG, S.Sos",WULANDARI ASWIRAH S.Pd
SALIHIN,SARINEM
"ALAMSYAH MAHMUD GAYO, SH. MM",SARWIANA
"ROSNAWITA, S.Sos",TEUKU NARENSYAH
JUSRIADI,KASMAWATI
LOFINA WILFA,-
RAMADHANA LUBIS,Rahmayani
DESI ANI,Taufik Rusdi
"Drs, H.. T. ISLAH, M.Si",Rahmawati
"AMPERA G, ST, MT",Hanisa Fitri
"PUTRI MULYANI, S.Psi",-
BUCHARI,NURSIDAH
MUHAMMAD,SUARNI
AFRILIZA AMALIA SIREGAR,SYUKURRULLAH
"FAKHRURRAZI, S.Tp",-
"EDI SUGIANTO, A.Ma",-
IPAK MAHTAWARMI,-
MAIDA SARI,AZHARI
YENTI PASARIBU,-
TEUKU HASBULLAH. HD,Dewi Diana Aji
"Dr. AHMAD FARHAN HAMID, MS","Ir. Ferry Soraya, MSIE"
"ERMIADI ABDUL RAHMAN, ST","NOVIANITA AR, SKM"
"ROSNAWATI, S.Pd.I",KHUWALID
"H. BASRUN YUSUF, SH",Damayanti
Drs. TEUKU BUSTAMI UMAR,ERNAWATI. B
"Drs. T.A. RAHMAN ALBA, MM","Cut Nurhayati,SE Ak"
SELVI OKTARICA,-
SUNDARI,T. MELDY SAHPUTRA
"AZHARI CAGE, S.IP",TARMIZI HAMZAH
"CUT AYU MAUIDHAH, S.Sos.I, M.Sos.",-
"H. A. RIDWAN M DALLAH, SE",HJ. DR. FATIMAH ZURAIDA
"ISWADI, M.Pd",SITI AMINAH
"PIPIH SOPIAH, SE",ABDULLAH
Ir. H. TAGORE ABU BAKAR,MEUTIA FAUZIAH
"HJ. MARIA KARSIA, S.S.",A. TAVIP SYAH
"GUNTARAYADI, S.P.",EMI SHINTA SITANGGANG
HUSAINI MH,DARA ARUNI
MUHAMMAD SUFI,Rizwana
"LISNAWATI GINTING, S.H.,M.H.",RIDHO MARIUS BANGUN
"Ir. H. T. A. KHALID, M.M",CUT AFNI ZAHARA
CUT PUTEH,BAPAK
"FERRY MUNANDAR, ST",IBU
"Ir. H. NASARUDDIN, MM",Hj. APINI
"SITI NURMASYITHAH, S.Sos",BAPAK
ILHAM PANGESTU,VENTY ANGRIANI
DRS. H. MARZUKI DAUD,POCUT OLLY IDAMULINA
"CUT RIZKA SEPTIANI, M.Si",-
"FIRMANDEZ, S.E., Ak.",ROSMULYATI
"REDUK NILAWARNI, S.Pd",ZAMHARIR AR
T. YUSNI,ROSMALINA
"H. MUHAMMAD NASIR DJAMIL, S. AG.,M. Si",KHASANAH
"TGK. H. MUHAMMAD NUR, M. Si",dr. Nur Asiah Fitria
BARMANSYAH,INDI LISTYOWATI
"M. YUSUF ISMAIL PASE, SH, MH",HJ. MEUTIA AHMAD S.Pd
"SARI DEWI, SE.Ak",M. Fauzi
"MAHFUZD, SE",-
"SAYUTI, SH.MH",YULINDA
SRI ARIANA NINGSIH,-
RUSLAN M. DAUD,HJ. FARIDAH BINTI ADAM
RAHMI ABDI,Ngatimin
"FAISAL RIDHA, S.Ag., MM",Maitanur binti Mahyiddin
ZULFAN LINDAN,Nurdjannah
MUHARUDDIN,Syarifah Rahmah
FATIMAH ZUHRA,Muhammad Syukri
EFENDI,Asmaryati
"DR. IBRAHIM HASYIM SE, MM",Joy Sarabia Ibrahim
RIMA MELATI,-
"H ANWAR IDRIS,DRS",Hj. Rohayanilawati
AKMAL HANIF,Putri
NURHANITA ZAHARA,"Sudianto, SH"
Ir. SYUKUR KOBATH,Iwardatika
"JAMALUDIN, SE",Arie Wardiana
CUT FATNIAH,"Dedi Fariadi,M.Pd"
"KAMARUDDIN, SH",RR ILMIA ASTUTI RAHAYU
"RAMADLAN, ST, MT",ROSNAWATI AMD KES
IKA LESTARI,NN
CUT ERNITA,-
ZAMZAMI,CUT SANTI NORAVITA
M HUSNI,-
GIVIANNA ELY,-
HERMAN KOSASIH,RATNA DEWI
